Cycle,Dictionary,TrumpMean,Opponent,OpponentMean
2015-2016,crime_gt_score,0.13681372070239656,H. Clinton,0.16221495316424014
2015-2016,economy_gt_score,2.813917313246523,H. Clinton,3.343474825092765
2015-2016,elites_gt_score,0.5359562078859221,H. Clinton,0.17779925428620166
2015-2016,people_gt_score,0.010642037092789578,H. Clinton,0.07733948560946932
2015-2016,service_gt_score,0.30351130848663077,H. Clinton,0.927080984561494
2015-2016,violence_gt_score,1.162570166463419,H. Clinton,1.4638051377941461
2015-2016,war_gt_score,0.2571520825595024,H. Clinton,0.16420195296174545
2015-2016,they_gt_score,2.2030711219133625,H. Clinton,1.2413093003815612
2015-2016,we_gt_score,3.0163935643232773,H. Clinton,2.7144785427872007
2019-2020,crime_gt_score,0.25584185459271686,Biden,0.05778648728953267
2019-2020,economy_gt_score,2.154712050312595,Biden,2.0648931521130294
2019-2020,elites_gt_score,0.2793911472197764,Biden,0.13232307069348917
2019-2020,people_gt_score,0.02530882599655842,Biden,0.04511182941459905
2019-2020,service_gt_score,0.4319235894208986,Biden,0.8569796264673696
2019-2020,violence_gt_score,1.490742502052721,Biden,1.0495775519255113
2019-2020,war_gt_score,0.3656542657542707,Biden,0.2771218428561461
2019-2020,they_gt_score,2.0264594778558456,Biden,1.2552365498784268
2019-2020,we_gt_score,3.2910313060115803,Biden,3.0000252429154086
2023-2024,crime_gt_score,0.5047686310754935,Harris,0.14017383180302712
2023-2024,economy_gt_score,1.5470184201301838,Harris,1.7372362129861993
2023-2024,elites_gt_score,0.4585070657482032,Harris,0.18120539289027088
2023-2024,people_gt_score,0.00918163692423322,Harris,0.041663570179944966
2023-2024,service_gt_score,0.3531216507779302,Harris,0.6722485767309204
2023-2024,violence_gt_score,2.1678078305228885,Harris,1.7524867603785665
2023-2024,war_gt_score,0.4830206785616439,Harris,0.040414683981859156
2023-2024,they_gt_score,2.46300007166874,Harris,0.8658872677267052
2023-2024,we_gt_score,2.8424814243175587,Harris,3.8224989248785852
