ElectionYear,Cycle,Dictionary,TrumpMean,Opponent,OpponentMean
2016,2015-2016,crime_gt_score,0.14111857799822383,H. Clinton,0.17445480678234415
2016,2015-2016,economy_gt_score,2.864778136878861,H. Clinton,3.237141253998844
2016,2015-2016,elites_gt_score,0.6754920995836625,H. Clinton,0.27097249411147184
2016,2015-2016,people_gt_score,0.01862356491238176,H. Clinton,0.0736631720795292
2016,2015-2016,service_gt_score,0.38517464850824173,H. Clinton,0.7799457795455329
2016,2015-2016,violence_gt_score,1.246587296814601,H. Clinton,1.6119602893510858
2016,2015-2016,war_gt_score,0.2875011608488539,H. Clinton,0.1922681687979704
2016,2015-2016,they_gt_score,1.7366590252246112,H. Clinton,1.195432189229819
2016,2015-2016,we_gt_score,3.3050643696674804,H. Clinton,2.86413854779483
2020,2019-2020,crime_gt_score,0.2399364305538633,Biden,0.06552391714951594
2020,2019-2020,economy_gt_score,1.9727251775551025,Biden,2.0258611300454494
2020,2019-2020,elites_gt_score,0.21299065372474116,Biden,0.15669227492305843
2020,2019-2020,people_gt_score,0.010569012713263244,Biden,0.061791836835251086
2020,2019-2020,service_gt_score,0.4280859655124831,Biden,0.6741788617175017
2020,2019-2020,violence_gt_score,1.7343631642425232,Biden,1.221726668513404
2020,2019-2020,war_gt_score,0.46300734470866606,Biden,0.2624167354592073
2020,2019-2020,they_gt_score,1.9643813668293224,Biden,1.1836393279647623
2020,2019-2020,we_gt_score,3.2163943268909647,Biden,2.9465134663909067
2024,2023-2024,crime_gt_score,0.6634838111440698,Harris,0.12381024141502919
2024,2023-2024,economy_gt_score,1.2689235098450058,Harris,1.7660455973117102
2024,2023-2024,elites_gt_score,0.39031429909666454,Harris,0.30360118517258794
2024,2023-2024,people_gt_score,0.01500152480957542,Harris,0.06818243722308351
2024,2023-2024,service_gt_score,0.3171696684548849,Harris,0.6542209050963128
2024,2023-2024,violence_gt_score,2.4165186663070317,Harris,2.0291557169639534
2024,2023-2024,war_gt_score,0.3998344202088321,Harris,0.026848239670408853
2024,2023-2024,they_gt_score,2.275626899000748,Harris,0.6977273991614379
2024,2023-2024,we_gt_score,2.684687450332506,Harris,3.9038524731049646
